sample_id,Lg_nm,Wns_nm,Tns_nm,Tox_nm,WorkFunction_eV,Nsd_cm3,Nch_cm3,VTH_lin_V,VTH_sat_V,SS_mVdec,DIBL_mV_V,ION_A_um,IOFF_A_um,ION_IOFF
42,11.96,15.04,6.82,1.13,4.745,1.1579899244868695e+20,4407155063074593.0,0.5312,0.4587,64.37,46.04,0.00040729567575680057,1e-11,40729567.57568006
43,8.28,19.94,6.66,0.92,4.5,6.873622600345282e+19,2647866066573630.0,0.2416,0.1497,65.57,49.6,0.002294497964912197,4.744001649459739e-06,483.6629778940952
44,15.27,16.02,4.48,1.1,4.498,1.2677114434012265e+20,4518504346256422.0,0.326,0.2777,62.47,37.56,0.0009212823232544164,3.208126147863571e-08,28717.147667897596
45,10.07,15.7,3.06,1.08,4.675,1.177272350518205e+20,1735898243221527.2,0.3994,0.3226,62.59,37.58,0.001036295582407634,4.554205632120568e-09,227546.9458600413
46,13.3,10.74,6.71,1.23,4.729,8.220488588903581e+19,6.040245096887896e+16,0.5513,0.4916,65.28,43.81,0.0002773111719514757,7.696386062203783e-10,360313.48961732106
47,10.49,22.19,4.71,1.24,4.744,5.863197929489985e+19,1.538809671149226e+16,0.5006,0.4253,64.56,43.75,0.0008093182986401871,9.039782004681909e-10,895285.1940688643
48,12.16,20.05,6.87,0.83,4.651,1.2674881781262343e+20,2.2814168156998376e+16,0.4503,0.3778,63.09,43.59,0.00086408558531507,1.1597419564578571e-09,745067.1078195741
49,12.37,11.03,6.85,1.06,4.501,1.028453405391173e+20,3.787411357797489e+16,0.3078,0.2381,64.9,43.36,0.0008087866187671853,1.5699855599397896e-07,5151.554507279691
50,9.48,15.57,6.41,1.24,4.383,1.4567701536552514e+20,9928517322283842.0,0.1511,0.0699,67.01,47.96,0.0022239486090914707,1e-05,222.39486090914704
51,15.76,28.17,4.18,1.15,4.661,1.0282485379543989e+20,1492246524838929.2,0.4899,0.435,62.72,37.31,0.0008302257000198385,7.76070034637534e-11,10697819.307088671
52,14.2,14.79,4.54,1.4,4.573,1.626705369431248e+20,1.1863506802965798e+16,0.383,0.3262,64.12,39.84,0.0007733531844893849,4.184018069699336e-09,184835.04889474777
53,15.52,12.9,6.4,1.26,4.52,1.0743458319279635e+20,1.491702563413891e+16,0.3642,0.311,64.58,40.9,0.0007171917729717265,1.1063701069733665e-08,64823.85672310933
54,15.16,19.79,4.27,0.91,4.713,1.0878343868871295e+20,3.0965560706362196e+16,0.5283,0.473,62.29,36.68,0.00047257296120509885,8.961901188322316e-10,527313.2913146584
55,12.78,29.71,3.68,0.85,4.394,1.6826436914427544e+20,7299936670144667.0,0.1772,0.1132,61.92,37.78,0.003117630461739663,1e-05,311.7630461739663
56,15.37,14.84,5.23,1.25,4.547,8.751645544418841e+19,1799536275076238.0,0.3757,0.3239,62.57,39.61,0.0007218764068176855,5.861740707113542e-09,123150.51840175208
57,8.71,23.44,6.74,0.82,4.355,6.031275086128542e+19,3694467169486950.5,0.103,0.0154,65.29,50.18,0.003767418181475807,1e-05,376.74181814758066
58,9.57,25.23,5.78,1.21,4.537,5.21518364159634e+19,5323099606209209.0,0.2864,0.2078,65.96,45.62,0.002359147505856851,5.057531208833992e-07,4664.62273477646
59,8.36,14.75,5.28,1.46,4.373,1.4225985228179056e+20,1.9580982652705812e+16,0.1031,0.0117,67.5,46.85,0.002477839812096008,1e-05,247.78398120960077
60,10.6,24.56,3.39,1.2,4.398,1.1808255207062843e+20,1.3853407502992688e+16,0.1421,0.067,62.44,39.16,0.0031867352939876775,1e-05,318.6735293987677
61,11.11,17.36,5.46,1.07,4.397,1.3257079505934185e+20,5154581987502410.0,0.1734,0.1008,63.67,43.67,0.0020608685211351203,1e-05,206.086852113512
62,10.17,22.65,6.96,1.25,4.61,6.726335057021241e+19,9.397893033412787e+16,0.3793,0.2992,67.37,47.76,0.001505839541905025,1.4777699838885691e-08,101899.45379338361
63,14.63,22.67,3.56,1.12,4.648,6.050940540340698e+19,1.6276073362367052e+16,0.4521,0.3962,62.16,35.92,0.0008354876300814276,2.1583658930882014e-09,387092.67634228943
64,10.85,20.72,5.07,1.18,4.583,5.1136005428380025e+19,2981628860349921.5,0.342,0.2625,64.76,41.83,0.0014249051412436897,6.243816237604987e-08,22821.061463369668
65,10.25,11.81,6.51,1.46,4.735,8.134905931009147e+19,1597956472708451.0,0.5015,0.4255,67.43,47.09,0.0004904034030048008,1e-11,49040340.30048008
66,12.34,26.71,5.96,1.07,4.5,1.132271594200067e+20,2021707295902584.2,0.2966,0.2277,64.15,41.26,0.0020849146705220964,2.3596206144540972e-07,8835.80461092236
67,9.13,16.42,5.79,1.47,4.464,8.616808217663477e+19,3103955288594854.5,0.2129,0.1269,67.94,46.22,0.0020253503087180385,1e-05,202.53503087180383
68,14.42,13.73,5.81,1.43,4.697,9.172441555354011e+19,2095862303862119.0,0.5172,0.4624,64.36,39.68,0.00020610365673206686,9.529281568496545e-10,216284.57009124168
69,8.6,10.82,4.44,0.94,4.439,1.7478140119517512e+20,2361206924146983.0,0.1671,0.078,63.92,42.94,0.001620997193906078,1e-05,162.0997193906078
70,15.9,21.82,4.17,0.85,4.735,8.10873822370027e+19,3716980967979251.5,0.5722,0.5175,61.55,37.84,0.0003506151865067872,1e-11,35061518.650678724
71,14.18,23.55,6.24,0.87,4.355,1.0195151728078057e+20,2222016044834470.5,0.182,0.1182,62.85,41.19,0.0023816130705966785,1e-05,238.16130705966785
72,9.59,10.33,6.24,0.81,4.738,1.479761785728395e+20,6.216284023330786e+16,0.5036,0.4234,64.08,46.32,0.00035485273695008685,5.206545712030716e-10,681551.1791822589
73,8.04,20.24,6.47,0.87,4.367,8.668135057213225e+19,1446996535570412.2,0.0987,0.0051,65.68,48.74,0.003495177394309947,1e-05,349.51773943099465
74,14.52,14.53,6.65,1.28,4.706,1.1837282713795633e+20,1.1194966005419844e+16,0.5346,0.4825,64.44,42.2,0.0002714294103631794,6.482447926447569e-10,418714.37062499445
75,13.65,22.9,5.05,0.85,4.561,1.6497503350972196e+20,6619019399921050.0,0.3575,0.2895,63.14,39.88,0.0013350018061282125,2.2944370728793447e-08,58184.285021723714
76,13.83,13.49,5.01,1.02,4.747,1.8608543164919343e+20,9.220558632540504e+16,0.5622,0.5065,62.52,41.21,0.00035447454984068115,1e-11,35447454.98406812
77,14.17,23.82,6.19,1.39,4.38,6.141070576497398e+19,1675242970772976.8,0.2073,0.1488,64.77,40.62,0.0021607451726762925,4.9115243528929546e-06,439.93371862313666
78,8.59,17.73,5.6,0.82,4.572,1.8028208622975454e+20,6247570967797953.0,0.3061,0.2188,64.04,46.51,0.001703264948535377,3.3196225757803217e-07,5130.899400920606
79,10.87,28.73,5.81,1.37,4.738,9.891673566570226e+19,8.688421198637882e+16,0.5102,0.4329,66.58,43.61,0.0010517593767166047,2.1632812271335225e-09,486187.07707746763
80,8.93,12.75,6.18,1.0,4.559,7.1605541440901415e+19,5.382874466428154e+16,0.2993,0.2152,65.62,48.89,0.0012320836492237012,3.8092360084949457e-07,3234.4639357499555
81,14.9,16.82,6.56,0.88,4.602,9.451080313689609e+19,4.306695255529361e+16,0.4532,0.3976,63.62,40.91,0.0006148175229893337,2.078739575664998e-09,295764.5730070112
82,12.99,12.27,4.35,1.29,4.628,1.94097322800164e+20,3279485039734812.0,0.4173,0.3555,62.71,38.66,0.0005951886150748512,1.9265987766745812e-09,308932.3123635428
83,10.65,28.49,4.5,1.24,4.532,9.898533481204875e+19,2196722380897962.8,0.2871,0.2107,64.33,41.18,0.0026251490554220856,4.5318818731414206e-07,5792.6246290316
84,8.51,27.55,3.38,1.41,4.601,7.893161087173843e+19,2.174134661221685e+16,0.316,0.229,64.93,40.11,0.0025551405530234183,2.235164881649046e-07,11431.552875590558
85,10.49,15.16,5.31,1.31,4.584,1.2023765915064143e+20,7.223571539891598e+16,0.3466,0.2679,65.37,42.22,0.0011241629097864143,4.98598135877894e-08,22546.472377139416
86,10.6,23.2,3.14,1.36,4.71,6.983728884471811e+19,1.2987506742421902e+16,0.452,0.3749,63.76,37.61,0.0011595086246902395,1.2446498676837616e-09,931594.2216328145
87,13.84,26.34,4.86,1.0,4.368,5.56567697563706e+19,1.3906741401499822e+16,0.1704,0.1105,62.55,39.86,0.0027415840344324712,1e-05,274.1584034432471
88,13.1,21.1,5.17,0.92,4.462,5.988634847967105e+19,3630431002952838.0,0.263,0.1933,63.62,38.84,0.0018216707550231463,8.838156162495861e-07,2061.143434818777
89,15.1,20.59,4.15,1.33,4.73,5.981739602570838e+19,3.459281198087772e+16,0.5575,0.4989,64.06,37.0,0.00043234679494022146,1e-11,43234679.494022146
90,11.78,14.84,5.36,1.36,4.706,6.182179577258447e+19,2366396406288684.5,0.4931,0.4243,64.79,40.68,0.0004674893203328224,2.265124474147283e-09,206385.70889523014
91,8.96,11.86,3.12,1.49,4.532,6.0715042532761625e+19,4439749559397670.5,0.2558,0.1711,63.94,39.91,0.0013593475370758815,2.0813197780290632e-06,653.1180606774111
92,13.71,27.94,3.15,1.09,4.598,1.2148561229043363e+20,7093700971486452.0,0.3826,0.3206,62.73,34.22,0.0014212051221133214,7.064945714221153e-09,201162.92178332704
93,14.09,28.01,6.29,1.06,4.461,6.443592252117822e+19,1.0356684762667894e+16,0.2802,0.2207,64.58,40.61,0.0020904577664784614,3.087786776322688e-07,6770.084587796677
94,12.49,22.66,4.44,1.34,4.425,8.079795520356404e+19,3053651453784026.5,0.2064,0.1399,63.56,39.27,0.002215037843979808,6.910472271501307e-06,320.533497126469
95,14.17,16.78,3.51,1.04,4.535,1.7301073292833083e+20,1696967986889820.5,0.3334,0.2726,61.85,37.76,0.0010408324810209548,4.2579831279034163e-08,24444.26034006972
96,11.95,16.98,5.09,1.45,4.491,9.646660271630888e+19,1.6643324655078594e+16,0.277,0.2044,64.8,40.58,0.001453107007156811,5.772338920373647e-07,2517.3625928789893
97,12.18,24.52,6.08,1.4,4.583,1.2604761804491045e+20,3777992630897127.0,0.3685,0.3,64.92,41.92,0.0015053225279568392,1.4344427744902222e-08,104941.27439080353
98,11.42,27.94,3.86,1.1,4.381,6.3590453576615985e+19,1.453705531059872e+16,0.1487,0.0728,62.52,40.34,0.0034626454507559103,1e-05,346.264545075591
99,8.2,27.74,5.49,1.33,4.74,6.536923631410261e+19,2035754626947068.8,0.4669,0.3792,66.6,45.29,0.0015557489561206013,1.094732074316188e-09,1421123.0241814028
100,8.86,25.6,3.34,1.33,4.744,5.302994415375076e+19,9168118198034810.0,0.4587,0.3679,63.62,37.23,0.0014016061787958181,1.7195290807713763e-09,815110.4825555269
